Method,Trial,P10_Throughput,Avg_Throughput,Avg_Sleeping_Sectors
Random,0,5.735558623527681,13.28469457676148,35.588
Random,1,5.316264495525819,12.717996956244063,37.332
Random,2,5.871423936020994,12.443504227760876,37.112
Random,3,6.673650672239824,11.917639823730621,38.71
Random,4,5.637211603800974,10.351022246682176,40.426
Random,5,5.6138729331855295,11.86287817191875,38.648
Random,6,5.827185343694498,12.183658898201962,38.332
Random,7,5.409609039269624,10.690349579982419,40.12
Random,8,5.867137982651371,12.333158091262751,37.254
Random,9,5.586604687131507,12.618538943288492,37.82
Random,10,6.093304597280576,10.585565158635735,40.62
Random,11,5.850151252187731,10.586849238997383,40.258
Random,12,6.526651706639213,12.435835052383759,37.48
Random,13,6.0635100443658665,11.54807385913791,38.808
Random,14,6.784615361076284,13.43636668172188,35.698
Random,15,5.704808801684582,11.65178179811879,38.89
Random,16,6.367236373091035,12.914148292473724,37.708
Random,17,6.100177976959567,12.683121603224397,36.478
Random,18,6.862092588524631,13.217132885701039,37.29
Random,19,5.787211250583602,11.586280872502005,38.504
Normal,0,5.407291487086339,31.598749032855753,0.0
Normal,1,8.36282110857638,32.15997596693551,0.0
Normal,2,9.007592973986414,31.301179440959096,0.0
Normal,3,11.047415674210095,31.414821646192323,0.0
Normal,4,8.35225440841843,31.07980966289062,0.0
Normal,5,9.015974686768583,30.672403694360426,0.0
Normal,6,6.165851072564212,31.21671308669193,0.0
Normal,7,9.777507876403618,30.510216022114523,0.0
Normal,8,9.271768789564838,30.951175620650236,0.0
Normal,9,6.460133739421854,31.73744254834563,0.0
Normal,10,5.487821452944435,31.820934632649745,0.0
Normal,11,5.276090657303548,30.7100062460275,0.0
Normal,12,9.701455786166187,31.416982647810677,0.0
Normal,13,6.851441318893181,31.791166765989036,0.0
Normal,14,6.907717093923265,30.72185199205076,0.0
Normal,15,6.860523584183546,30.843398103812845,0.0
Normal,16,9.381487024653362,32.25703437396202,0.0
Normal,17,7.461161674777482,31.164856770035147,0.0
Normal,18,8.187407810333,31.320724181939134,0.0
Normal,19,7.563707621727213,30.843594396009525,0.0
Enhanced,0,0.9924422289827295,9.50762676907724,42.252
Enhanced,1,1.268936630290802,20.61874887343321,28.32
Enhanced,2,1.0361096870335555,12.165272948762343,38.776
Enhanced,3,1.7743997136029166,17.491555991594588,32.342
Enhanced,4,1.0101076978265966,10.866240656281962,40.566
Enhanced,5,0.9960120441575523,4.832699468953464,48.34
Enhanced,6,1.029559558507836,13.788753799237213,37.592
Enhanced,7,1.3523017698837652,13.424465527963795,37.622
Enhanced,8,1.2137252270417334,10.262187541531212,41.534
Enhanced,9,1.0291625918701288,10.918083406622875,40.756
Enhanced,10,0.9924422289827295,7.320800588560794,45.436
Enhanced,11,1.0218185180328858,12.794251690303335,38.694
Enhanced,12,1.0281701493725919,8.609165495614684,43.736
Enhanced,13,0.9924422289827295,6.596083739490967,46.38
Enhanced,14,1.1218566949096571,15.289487525449127,34.62
Enhanced,15,0.9924422289827295,4.904520190709267,48.738
Enhanced,16,1.067093709782307,9.727342911650982,42.042
Enhanced,17,0.9924422289827295,5.648583360843531,47.798
Enhanced,18,1.1536148447478498,16.201269616046705,33.504
Enhanced,19,0.9924422289827295,7.38737364562397,45.046
Basic,0,0.9924422289827295,14.58490483502842,36.152
Basic,1,1.268936630290802,20.61874887343321,28.32
Basic,2,1.1010154073197713,15.539232244369938,34.588
Basic,3,1.7743997136029166,17.491555991594588,32.342
Basic,4,1.0521872520463946,15.080052745070839,35.466
Basic,5,1.1297962327659332,12.65106452929979,38.878
Basic,6,1.0809680741478362,17.797493648279502,32.964
Basic,7,1.5341171854277385,17.426170713804826,32.818
Basic,8,1.2137252270417334,15.452916528185513,35.116
Basic,9,1.0893045861369215,16.45676141682372,33.96
Basic,10,0.9924422289827295,13.752312191111152,37.784
Basic,11,1.024200378820922,14.18525047030132,36.862
Basic,12,1.0571494611893588,15.048184718056422,36.022
Basic,13,0.9924422289827295,15.495630649265557,35.48
Basic,14,1.130590181031552,16.519414834868222,33.132
Basic,15,0.9924422289827295,15.128450646238736,35.546
Basic,16,1.2634547268503118,16.259383945771017,34.416
Basic,17,1.0120925845062372,13.124539814613225,39.018
Basic,18,1.1536148447478498,17.697584771092465,31.658
Basic,19,1.018245726448,13.6542092778238,37.162
VDN,0,4.641848791961595,19.573662275125308,28.696
VDN,1,3.3181554048818174,19.837908416413025,27.1
VDN,2,3.548395933710452,19.13849807081224,28.812
VDN,3,6.464457493259087,20.068761206164798,25.868
VDN,4,5.5267553547229324,22.34488118164959,21.036
VDN,5,4.391913910881956,19.02305505255687,27.198
VDN,6,3.700977399099587,23.694370692154536,21.502
VDN,7,6.4690075581762905,22.797026848225222,22.414
VDN,8,6.727789683361063,19.75244461934027,28.81
VDN,9,3.143962977924874,20.806390395575423,25.118
VDN,10,2.45059975815107,18.948410048276937,28.68
VDN,11,2.4906291395425026,18.49857520235524,28.832
VDN,12,6.299923297138269,20.54285130988962,27.976
VDN,13,3.7273860391732345,19.05517581493563,28.92
VDN,14,2.8548894742298407,18.13520169837845,30.724
VDN,15,2.49477016504341,19.346899994237397,28.078
VDN,16,1.9797492058519304,17.083392394759795,31.856
VDN,17,3.531923885026895,19.781740111116427,26.232
VDN,18,3.5871863615464665,18.861281373425108,30.202
VDN,19,4.9434698939379,20.398380196753504,25.774
